BusinessName,Yelp URL,Google Review Link,Average Rating,Total Ratings,Address
% Arabica,https://www.yelp.com/biz/arabica-brooklyn?osq=coffee,https://www.google.com/search?q=%+Arabica20+Old+Fulton+St+Brooklyn+NY+11201,4.3,232,"20 Old Fulton St, Brooklyn, NY 11201","% Arabica
20 Old Fulton St
Devoción,https://www.yelp.com/biz/devoci%C3%B3n-brooklyn-14?osq=cafe,https://www.google.com/search?q=Devoción105+York+St+Brooklyn+NY+11201,3.7,27,"105 York St, Brooklyn, NY 11201","Devoción
105 York St
Brooklyn, NY 11201"
ACRE,https://www.yelp.com/biz/acre-brooklyn?osq=cafe,https://www.google.com/search?q=ACRE64+Meserole+Ave+Brooklyn+NY+11222,4.6,118,"64 Meserole Ave, Brooklyn, NY 11222","ACRE
64 Meserole Ave
Brooklyn, NY 11222"
Sippy Cafe,https://www.yelp.com/biz/sippy-cafe-brooklyn?osq=cafe,https://www.google.com/search?q=Sippy+Cafe200+Franklin+St+Brooklyn+NY+11222,4.8,35,"200 Franklin St, Brooklyn, NY 11222","Sippy Cafe
200 Franklin St
Brooklyn, NY 11222"
Nippon Cha,https://www.yelp.com/biz/nippon-cha-brooklyn-2?osq=cafe,https://www.google.com/search?q=Nippon+ChaN/A,4.6,74,N/A,"Nippon Cha
214 Bedford Ave
Fl 1</span></p><p class="" css-1sb02f4"" "
Beepublic,https://www.yelp.com/biz/beepublic-brooklyn-2?osq=cafe,https://www.google.com/search?q=Beepublic181+Front+St+Brooklyn+NY+11201,4.6,12,"181 Front St, Brooklyn, NY 11201","Beepublic
181 Front St
Brooklyn, NY 11201"
Cafe Sparrow,https://www.yelp.com/biz/cafe-sparrow-astoria?osq=cafe,https://www.google.com/search?q=Cafe+Sparrow30-08+37th+St+Astoria+NY+11103,4.8,10,"30-08 37th St, Astoria, NY 11103","Cafe Sparrow
30-08 37th St
Astoria, NY 11103"
Kona Coffee Roasters - East Village,https://www.yelp.com/biz/kona-coffee-roasters-east-village-new-york?osq=cafe,https://www.google.com/search?q=Kona+Coffee+Roasters+-+East+Village57+2nd+Ave+New+York+NY+10003,4.4,232,"57 2nd Ave, New York, NY 10003","Kona Coffee Roasters - East Village
57 2nd Ave
New York, NY 10003"
Textbook,https://www.yelp.com/biz/textbook-brooklyn?osq=cafe,https://www.google.com/search?q=Textbook118+DeKalb+Ave+Brooklyn+NY+11217,4.4,38,"118 DeKalb Ave, Brooklyn, NY 11217","Textbook
118 DeKalb Ave
Brooklyn, NY 11217"
Head Hi,https://www.yelp.com/biz/head-hi-brooklyn?osq=cafe,https://www.google.com/search?q=Head+Hi146+Flushing+Ave+Brooklyn+NY+11205,4.9,16,"146 Flushing Ave, Brooklyn, NY 11205","Head Hi
146 Flushing Ave
Brooklyn, NY 11205"
Coffee Project New York | Fort Greene,https://www.yelp.com/biz/coffee-project-new-york-fort-greene-brooklyn?osq=cafe,https://www.google.com/search?q=Coffee+Project+New+York+|+Fort+Greene78+Rockwell+Pl+Brooklyn+NY+11217,4.5,102,"78 Rockwell Pl, Brooklyn, NY 11217","Coffee Project New York | Fort Greene
78 Rockwell Pl
Brooklyn, NY 11217"
Maman,https://www.yelp.com/biz/maman-new-york-20?osq=cafe,https://www.google.com/search?q=Maman22+W+25th+St+New+York+NY+10010,3.9,426,"22 W 25th St, New York, NY 10010","Maman
22 W 25th St
New York, NY 10010"
Qahwah House - New York,https://www.yelp.com/biz/qahwah-house-new-york-new-york?osq=cafe,https://www.google.com/search?q=Qahwah+House+-+New+York13+Carmine+St+New+York+NY+10007,4.7,10,"13 Carmine St, New York, NY 10007","Qahwah House - New York
13 Carmine St
New York, NY 10007"
Poetica Coffee,https://www.yelp.com/biz/poetica-coffee-brooklyn?osq=cafe,https://www.google.com/search?q=Poetica+Coffee251+Smith+St+Brooklyn+NY+11231,4.5,30,"251 Smith St, Brooklyn, NY 11231","Poetica Coffee
251 Smith St
Brooklyn, NY 11231"
Crispy Heaven Bakery,https://www.yelp.com/biz/crispy-heaven-bakery-new-york?osq=cafe,https://www.google.com/search?q=Crispy+Heaven+Bakery38+Grand+St+New+York+NY+10013,4.8,74,"38 Grand St, New York, NY 10013","Crispy Heaven Bakery
38 Grand St
New York, NY 10013"
N/A,https://www.yelp.com/biz/semicolon-cafe-jersey-city?osq=cafe,https://www.google.com/search?q=N/AN/A,N/A,N/A,N/A,"N/A
38 Grand St
New York, NY 10013"
Little Choc Apothecary,https://www.yelp.com/biz/little-choc-apothecary-brooklyn-2?osq=cafe,https://www.google.com/search?q=Little+Choc+Apothecary141+Havemeyer+St+Brooklyn+NY+11211,4.3,554,"141 Havemeyer St, Brooklyn, NY 11211","Little Choc Apothecary
141 Havemeyer St
Brooklyn, NY 11211"
Banter,https://www.yelp.com/biz/banter-new-york-3?osq=cafe,https://www.google.com/search?q=Banter643+Hudson+St+New+York+NY+10014,4.4,156,"643 Hudson St, New York, NY 10014","Banter
643 Hudson St
New York, NY 10014"
Poetica Coffee,https://www.yelp.com/biz/poetica-coffee-new-york-4?osq=cafe,https://www.google.com/search?q=Poetica+Coffee131+2nd+Ave+New+York+NY+10003,4.6,10,"131 2nd Ave, New York, NY 10003","Poetica Coffee
131 2nd Ave
New York, NY 10003"
Fiction Bar/Cafe,https://www.yelp.com/biz/fiction-bar-cafe-brooklyn?osq=cafe,https://www.google.com/search?q=Fiction+Bar/Cafe308+Hooper+St+Brooklyn+NY+11211,4.4,103,"308 Hooper St, Brooklyn, NY 11211","Fiction Bar/Cafe
308 Hooper St
Brooklyn, NY 11211"
Felix Roasting,https://www.yelp.com/biz/felix-roasting-new-york-6?osq=cafe,https://www.google.com/search?q=Felix+Roasting525+Greenwich+St+New+York+NY+10013,4.5,12,"525 Greenwich St, New York, NY 10013","Felix Roasting
525 Greenwich St
New York, NY 10013"
Sawada Coffee,https://www.yelp.com/biz/sawada-coffee-new-york?osq=cafe,https://www.google.com/search?q=Sawada+Coffee33+Cortlandt+Aly+New+York+NY+10013,4.6,67,"33 Cortlandt Aly, New York, NY 10013","Sawada Coffee
33 Cortlandt Aly
New York, NY 10013"
La Colombe SOHO,https://www.yelp.com/biz/la-colombe-soho-new-york?osq=cafe,https://www.google.com/search?q=La+Colombe+SOHO270+Lafayette+St+New+York+NY+10012,4.3,706,"270 Lafayette St, New York, NY 10012","La Colombe SOHO
270 Lafayette St
New York, NY 10012"
OXA House Coffee &amp; Tea ,https://www.yelp.com/biz/oxa-house-coffee-and-tea-new-york-3?osq=cafe,https://www.google.com/search?q=OXA+House+Coffee+&amp;+Tea+102+Broadway+New+York+NY+11249,5.0,17,"102 Broadway, New York, NY 11249","OXA House Coffee &amp; Tea 
102 Broadway
New York, NY 11249"
Librae Bakery,https://www.yelp.com/biz/librae-bakery-new-york?osq=cafe,https://www.google.com/search?q=Librae+Bakery35+Cooper+Sq+New+York+NY+10003,4.5,165,"35 Cooper Sq, New York, NY 10003","Librae Bakery
35 Cooper Sq
New York, NY 10003"
787 Coffee,https://www.yelp.com/biz/787-coffee-new-york-2?osq=cafe,https://www.google.com/search?q=787+Coffee131+E+7th+St+New+York+NY+10009,4.5,169,"131 E 7th St, New York, NY 10009","787 Coffee
131 E 7th St
New York, NY 10009"
Whistle &amp; Fizz,https://www.yelp.com/biz/whistle-and-fizz-new-york-4?osq=cafe,https://www.google.com/search?q=Whistle+&amp;+Fizz254+Greene+St+New+York+NY+10003,4.9,279,"254 Greene St, New York, NY 10003","Whistle &amp; Fizz
254 Greene St
New York, NY 10003"
Bakeri,https://www.yelp.com/biz/bakeri-brooklyn?osq=cafe,https://www.google.com/search?q=Bakeri150+Wythe+Ave+Brooklyn+NY+11211,3.9,407,"150 Wythe Ave, Brooklyn, NY 11211","Bakeri
150 Wythe Ave
Brooklyn, NY 11211"
Plantshed,https://www.yelp.com/biz/plantshed-new-york-6?osq=cafe,https://www.google.com/search?q=Plantshed216+Lafayette+St+New+York+NY+10012,4.5,11,"216 Lafayette St, New York, NY 10012","Plantshed
216 Lafayette St
New York, NY 10012"
TALEA,https://www.yelp.com/biz/talea-brooklyn?osq=cafe,https://www.google.com/search?q=TALEA61+Bergen+St+Brooklyn+NY+11201,4.6,30,"61 Bergen St, Brooklyn, NY 11201","TALEA
61 Bergen St
Brooklyn, NY 11201"
Smør Bakery,https://www.yelp.com/biz/sm%C3%B8r-bakery-new-york?osq=cafe,https://www.google.com/search?q=Smør+Bakery437+E+12th+St+New+York+NY+10009,4.6,25,"437 E 12th St, New York, NY 10009","Smør Bakery
437 E 12th St
New York, NY 10009"
Burrow,https://www.yelp.com/biz/burrow-brooklyn?osq=cafe,https://www.google.com/search?q=BurrowN/A,4.7,87,N/A,"Burrow
68 Jay St
Ste 119</span></p><p class="" css-1sb02f"
The Lost Draft,https://www.yelp.com/biz/the-lost-draft-new-york?osq=cafe,https://www.google.com/search?q=The+Lost+Draft398+Broome+St+New+York+NY+10013,4.0,59,"398 Broome St, New York, NY 10013","The Lost Draft
398 Broome St
New York, NY 10013"
Café Kitsuné New York,https://www.yelp.com/biz/caf%C3%A9-kitsun%C3%A9-new-york-new-york?osq=cafe,https://www.google.com/search?q=Café+Kitsuné+New+York550+Hudson+St+New+York+NY+10014,3.6,100,"550 Hudson St, New York, NY 10014","Café Kitsuné New York
550 Hudson St
New York, NY 10014"
Café Leon Dore,https://www.yelp.com/biz/caf%C3%A9-leon-dore-new-york?osq=cafe,https://www.google.com/search?q=Café+Leon+Dore214+Mulberry+St+New+York+NY+10012,3.8,59,"214 Mulberry St, New York, NY 10012","Café Leon Dore
214 Mulberry St
New York, NY 10012"
Patisserie Fouet,https://www.yelp.com/biz/patisserie-fouet-new-york?osq=cafe,https://www.google.com/search?q=Patisserie+Fouet15+E+13th+St+New+York+NY+10003,4.2,439,"15 E 13th St, New York, NY 10003","Patisserie Fouet
15 E 13th St
New York, NY 10003"
Amano Café,https://www.yelp.com/biz/amano-caf%C3%A9-new-york?osq=cafe,https://www.google.com/search?q=Amano+Café172+W+4th+St+New+York+NY+10014,4.6,68,"172 W 4th St, New York, NY 10014","Amano Café
172 W 4th St
New York, NY 10014"
Pause Cafe,https://www.yelp.com/biz/pause-cafe-new-york?osq=cafe,https://www.google.com/search?q=Pause+Cafe3+Clinton+St+New+York+NY+10002,4.4,535,"3 Clinton St, New York, NY 10002","Pause Cafe
3 Clinton St
New York, NY 10002"
Breads Bakery,https://www.yelp.com/biz/breads-bakery-new-york-23?osq=cafe,https://www.google.com/search?q=Breads+Bakery18+E+16th+St+New+York+NY+10003,4.3,N/A,"18 E 16th St, New York, NY 10003","Breads Bakery
18 E 16th St
New York, NY 10003"
MUD,https://www.yelp.com/biz/mud-new-york-3?osq=cafe,https://www.google.com/search?q=MUD307+E+9th+St+New+York+NY+10003,4.1,N/A,"307 E 9th St, New York, NY 10003","MUD
307 E 9th St
New York, NY 10003"
Daymoves,https://www.yelp.com/biz/daymoves-brooklyn?osq=cafe,https://www.google.com/search?q=Daymoves295+Grand+St+Brooklyn+NY+11211,4.4,9,"295 Grand St, Brooklyn, NY 11211","Daymoves
295 Grand St
Brooklyn, NY 11211"
Grace Street,https://www.yelp.com/biz/grace-street-new-york?osq=cafe,https://www.google.com/search?q=Grace+Street17+W+32nd+St+New+York+NY+10001,4.2,N/A,"17 W 32nd St, New York, NY 10001","Grace Street
17 W 32nd St
New York, NY 10001"
Cafe-Flor,https://www.yelp.com/biz/cafe-flor-new-york-2?osq=cafe,https://www.google.com/search?q=Cafe-Flor218+8th+Ave+New+York+NY+10011,4.3,86,"218 8th Ave, New York, NY 10011","Cafe-Flor
218 8th Ave
New York, NY 10011"
Bright Side,https://www.yelp.com/biz/bright-side-brooklyn-3?osq=cafe,https://www.google.com/search?q=Bright+Side184+Kent+Ave+Brooklyn+NY+11249,3.9,45,"184 Kent Ave, Brooklyn, NY 11249","Bright Side
184 Kent Ave
Brooklyn, NY 11249"
Red Hook Coffee Shop,https://www.yelp.com/biz/red-hook-coffee-shop-brooklyn-2?osq=cafe,https://www.google.com/search?q=Red+Hook+Coffee+Shop327+Van+Brunt+St+Brooklyn+NY+11231,4.6,9,"327 Van Brunt St, Brooklyn, NY 11231","Red Hook Coffee Shop
327 Van Brunt St
Brooklyn, NY 11231"
Citizens Of Gramercy,https://www.yelp.com/biz/citizens-of-gramercy-new-york-2?osq=cafe,https://www.google.com/search?q=Citizens+Of+Gramercy362+2nd+Ave+New+York+NY+10010,3.9,222,"362 2nd Ave, New York, NY 10010","Citizens Of Gramercy
362 2nd Ave
New York, NY 10010"
Cafe W Bakery and Desserts,https://www.yelp.com/biz/cafe-w-bakery-and-desserts-new-york?osq=cafe,https://www.google.com/search?q=Cafe+W+Bakery+and+Desserts35-29+154th+St+New+York+NY+11354,4.2,34,"35-29 154th St, New York, NY 11354","Cafe W Bakery and Desserts
35-29 154th St
New York, NY 11354"
No Stress Coffee,https://www.yelp.com/biz/no-stress-coffee-queens?osq=cafe,https://www.google.com/search?q=No+Stress+Coffee42-77+Hunter+St+Queens+NY+11101,4.8,88,"42-77 Hunter St, Queens, NY 11101","No Stress Coffee
42-77 Hunter St
Queens, NY 11101"
Moncheri Coffee Shop and Creperie,https://www.yelp.com/biz/moncheri-coffee-shop-and-creperie-new-york?osq=cafe,https://www.google.com/search?q=Moncheri+Coffee+Shop+and+Creperie323A+2nd+Ave+New+York+NY+10003,5.0,2,"323A 2nd Ave, New York, NY 10003","Moncheri Coffee Shop and Creperie
323A 2nd Ave
New York, NY 10003"
Little Canal,https://www.yelp.com/biz/little-canal-new-york-2?osq=cafe,https://www.google.com/search?q=Little+Canal26+Canal+St+New+York+NY+10002,3.8,154,"26 Canal St, New York, NY 10002","Little Canal
26 Canal St
New York, NY 10002"
CupSoul Cafe,https://www.yelp.com/biz/cupsoul-cafe-new-york?osq=cafe,https://www.google.com/search?q=CupSoul+Cafe165+3rd+Ave+New+York+NY+10003,4.2,29,"165 3rd Ave, New York, NY 10003","CupSoul Cafe
165 3rd Ave
New York, NY 10003"
La Cantine,https://www.yelp.com/biz/la-cantine-brooklyn?osq=cafe,https://www.google.com/search?q=La+Cantine60+St+Nicholas+Ave+Brooklyn+NY+11237,4.3,60,"60 St Nicholas Ave, Brooklyn, NY 11237","La Cantine
60 St Nicholas Ave
Brooklyn, NY 11237"
Bikini Bar,https://www.yelp.com/biz/bikini-bar-new-york?osq=cafe,https://www.google.com/search?q=Bikini+Bar148+Duane+St+New+York+NY+10013,4.1,16,"148 Duane St, New York, NY 10013","Bikini Bar
148 Duane St
New York, NY 10013"
Bianco Latte NYC - Williamsburg,https://www.yelp.com/biz/bianco-latte-nyc-williamsburg-brooklyn-3?osq=cafe,https://www.google.com/search?q=Bianco+Latte+NYC+-+Williamsburg109+Bedford+Ave+Brooklyn+NY+11211,4.4,42,"109 Bedford Ave, Brooklyn, NY 11211","Bianco Latte NYC - Williamsburg
109 Bedford Ave
Brooklyn, NY 11211"
Absolute Coffee,https://www.yelp.com/biz/absolute-coffee-brooklyn?osq=cafe,https://www.google.com/search?q=Absolute+Coffee327+Atlantic+Ave+Brooklyn+NY+11201,4.4,225,"327 Atlantic Ave, Brooklyn, NY 11201","Absolute Coffee
327 Atlantic Ave
Brooklyn, NY 11201"
Terms of Endearment,https://www.yelp.com/biz/terms-of-endearment-brooklyn-2?osq=cafe,https://www.google.com/search?q=Terms+of+Endearment135+Metropolitan+Ave+Brooklyn+NY+11249,4.4,107,"135 Metropolitan Ave, Brooklyn, NY 11249","Terms of Endearment
135 Metropolitan Ave
Brooklyn, NY 11249"
Eleva Coffee GPL,https://www.yelp.com/biz/eleva-coffee-gpl-brooklyn?osq=cafe,https://www.google.com/search?q=Eleva+Coffee+GPL7+Bell+Slip+Brooklyn+NY+11222,4.8,11,"7 Bell Slip, Brooklyn, NY 11222","Eleva Coffee GPL
7 Bell Slip
Brooklyn, NY 11222"
Poetica Coffee,https://www.yelp.com/biz/poetica-coffee-brooklyn-2?osq=cafe,https://www.google.com/search?q=Poetica+Coffee1233+Prospect+Ave+Brooklyn+NY+11218,4.2,20,"1233 Prospect Ave, Brooklyn, NY 11218","Poetica Coffee
1233 Prospect Ave
Brooklyn, NY 11218"
Diem Eatery,https://www.yelp.com/biz/diem-eatery-brooklyn?osq=cafe,https://www.google.com/search?q=Diem+Eatery79+Atlantic+Ave+Brooklyn+NY+11201,4.7,49,"79 Atlantic Ave, Brooklyn, NY 11201","Diem Eatery
79 Atlantic Ave
Brooklyn, NY 11201"
Maman,https://www.yelp.com/biz/maman-brooklyn-4?osq=cafe,https://www.google.com/search?q=Maman154+Court+St+Brooklyn+NY+11201,4.0,56,"154 Court St, Brooklyn, NY 11201","Maman
154 Court St
Brooklyn, NY 11201"
Frame,https://www.yelp.com/biz/frame-new-york-6?osq=cafe,https://www.google.com/search?q=Frame1413+2nd+Ave+New+York+NY+10021,4.6,69,"1413 2nd Ave, New York, NY 10021","Frame
1413 2nd Ave
New York, NY 10021"
Five &amp; Dime,https://www.yelp.com/biz/five-and-dime-new-york-2?osq=cafe,https://www.google.com/search?q=Five+&amp;+Dime8+Park+Pl+New+York+NY+10007,4.4,116,"8 Park Pl, New York, NY 10007","Five &amp; Dime
8 Park Pl
New York, NY 10007"
Saturdays NYC,https://www.yelp.com/biz/saturdays-nyc-new-york-2?osq=cafe,https://www.google.com/search?q=Saturdays+NYC31+Crosby+St+New+York+NY+10013,4.0,96,"31 Crosby St, New York, NY 10013","Saturdays NYC
31 Crosby St
New York, NY 10013"
Seven Grams Caffe,https://www.yelp.com/biz/seven-grams-caffe-new-york-7?osq=cafe,https://www.google.com/search?q=Seven+Grams+Caffe76+Madison+Ave+New+York+NY+10016,4.3,145,"76 Madison Ave, New York, NY 10016","Seven Grams Caffe
76 Madison Ave
New York, NY 10016"
See You Tomorrow Cafe,https://www.yelp.com/biz/see-you-tomorrow-cafe-brooklyn?osq=cafe,https://www.google.com/search?q=See+You+Tomorrow+CafeN/A,4.6,13,N/A,"See You Tomorrow Cafe
19 Bogart St
Ste 3</span></p><p class="" css-1sb02f4"""
Ludlow Coffee Supply,https://www.yelp.com/biz/ludlow-coffee-supply-new-york?osq=cafe,https://www.google.com/search?q=Ludlow+Coffee+Supply176+Ludlow+St+New+York+NY+10002,3.8,287,"176 Ludlow St, New York, NY 10002","Ludlow Coffee Supply
176 Ludlow St
New York, NY 10002"
Black Cat LES,https://www.yelp.com/biz/black-cat-les-new-york-3?osq=cafe,https://www.google.com/search?q=Black+Cat+LES172+Rivington+St+New+York+NY+10002,4.1,351,"172 Rivington St, New York, NY 10002","Black Cat LES
172 Rivington St
New York, NY 10002"
787 Coffee,https://www.yelp.com/biz/787-coffee-new-york-13?osq=cafe,https://www.google.com/search?q=787+Coffee72+Thompson+St+New+York+NY+10012,4.4,7,"72 Thompson St, New York, NY 10012","787 Coffee
72 Thompson St
New York, NY 10012"
N/A,https://www.yelp.com/biz/cafe-grumpy-new-york-6?osq=cafe,https://www.google.com/search?q=N/AN/A,N/A,N/A,N/A,"N/A
72 Thompson St
New York, NY 10012"
TB Coffee House,https://www.yelp.com/biz/tb-coffee-house-brooklyn-2?osq=cafe,https://www.google.com/search?q=TB+Coffee+House578+Myrtle+Ave+Brooklyn+NY+11205,4.4,28,"578 Myrtle Ave, Brooklyn, NY 11205","TB Coffee House
578 Myrtle Ave
Brooklyn, NY 11205"
The Paris Cafe,https://www.yelp.com/biz/the-paris-cafe-new-york?osq=cafe,https://www.google.com/search?q=The+Paris+Cafe119+South+St+New+York+NY+10038,3.9,376,"119 South St, New York, NY 10038","The Paris Cafe
119 South St
New York, NY 10038"
The Elk,https://www.yelp.com/biz/the-elk-new-york?osq=cafe,https://www.google.com/search?q=The+Elk128+Charles+St+New+York+NY+10014,4.0,184,"128 Charles St, New York, NY 10014","The Elk
128 Charles St
New York, NY 10014"
Froth New York,https://www.yelp.com/biz/froth-new-york-new-york?osq=cafe,https://www.google.com/search?q=Froth+New+York90+Rivington+St+New+York+NY+10002,4.2,47,"90 Rivington St, New York, NY 10002","Froth New York
90 Rivington St
New York, NY 10002"
Sammy L Coffee,https://www.yelp.com/biz/sammy-l-coffee-new-york?osq=cafe,https://www.google.com/search?q=Sammy+L+Coffee83+3rd+Ave+New+York+NY+10003,4.6,17,"83 3rd Ave, New York, NY 10003","Sammy L Coffee
83 3rd Ave
New York, NY 10003"
Milk &amp; Honey Cafe,https://www.yelp.com/biz/milk-and-honey-cafe-brooklyn-2?osq=cafe,https://www.google.com/search?q=Milk+&amp;+Honey+Cafe1119+Newkirk+Ave+Brooklyn+NY+11230,3.9,N/A,"1119 Newkirk Ave, Brooklyn, NY 11230","Milk &amp; Honey Cafe
1119 Newkirk Ave
Brooklyn, NY 11230"
Usagi NY,https://www.yelp.com/biz/usagi-ny-dumbo-7?osq=cafe,https://www.google.com/search?q=Usagi+NY163+Plymouth+St+Dumbo+NY+11201,4.2,86,"163 Plymouth St, Dumbo, NY 11201","Usagi NY
163 Plymouth St
Dumbo, NY 11201"
969 NYC Coffee,https://www.yelp.com/biz/969-nyc-coffee-jackson-heights-2?osq=cafe,https://www.google.com/search?q=969+NYC+CoffeeN/A,4.6,384,N/A,"969 NYC Coffee
37-61 80th St
Dumbo, NY 11201"
Weekends,https://www.yelp.com/biz/weekends-brooklyn?osq=cafe,https://www.google.com/search?q=Weekends155+S+4th+St+Brooklyn+NY+11211,4.1,78,"155 S 4th St, Brooklyn, NY 11211","Weekends
155 S 4th St
Brooklyn, NY 11211"
Waypoint Cafe,https://www.yelp.com/biz/waypoint-cafe-new-york?osq=cafe,https://www.google.com/search?q=Waypoint+Cafe65+Ludlow+St+New+York+NY+10002,4.4,41,"65 Ludlow St, New York, NY 10002","Waypoint Cafe
65 Ludlow St
New York, NY 10002"
Kona Coffee Roasters - Midtown,https://www.yelp.com/biz/kona-coffee-roasters-midtown-new-york?osq=cafe,https://www.google.com/search?q=Kona+Coffee+Roasters+-+Midtown100+Park+Ave+New+York+NY+10017,4.4,16,"100 Park Ave, New York, NY 10017","Kona Coffee Roasters - Midtown
100 Park Ave
New York, NY 10017"
Butler,https://www.yelp.com/biz/butler-brooklyn-3?osq=cafe,https://www.google.com/search?q=Butler101+N+8th+St+Brooklyn+NY+11249,4.6,20,"101 N 8th St, Brooklyn, NY 11249","Butler
101 N 8th St
Brooklyn, NY 11249"
Felix Roasting,https://www.yelp.com/biz/felix-roasting-new-york-4?osq=cafe,https://www.google.com/search?q=Felix+Roasting450+Park+Ave+S+New+York+NY+10016,4.2,305,"450 Park Ave S, New York, NY 10016","Felix Roasting
450 Park Ave S
New York, NY 10016"
Citizens Of Soho,https://www.yelp.com/biz/citizens-of-soho-new-york?osq=cafe,https://www.google.com/search?q=Citizens+Of+Soho201+Lafayette+St+New+York+NY+10012,4.0,141,"201 Lafayette St, New York, NY 10012","Citizens Of Soho
201 Lafayette St
New York, NY 10012"
Ad Hoc | Collective,https://www.yelp.com/biz/ad-hoc-collective-new-york?osq=cafe,https://www.google.com/search?q=Ad+Hoc+|+CollectiveN/A,4.5,107,N/A,"Ad Hoc | Collective
13 Christopher St
Lower Level</span></p><p class="" css-1s"
Amai Bā,https://www.yelp.com/biz/amai-b%C4%81-brooklyn?osq=cafe,https://www.google.com/search?q=Amai+Bā70+Henry+St+Brooklyn+NY+11201,4.2,14,"70 Henry St, Brooklyn, NY 11201","Amai Bā
70 Henry St
Brooklyn, NY 11201"
Kettl,https://www.yelp.com/biz/kettl-new-york?osq=cafe,https://www.google.com/search?q=Kettl348+Bowery+New+York+NY+10012,4.4,60,"348 Bowery, New York, NY 10012","Kettl
348 Bowery
New York, NY 10012"
787 Coffee,https://www.yelp.com/biz/787-coffee-new-york-10?osq=cafe,https://www.google.com/search?q=787+Coffee93+Worth+St+New+York+NY+10013,4.3,12,"93 Worth St, New York, NY 10013","787 Coffee
93 Worth St
New York, NY 10013"
Diem Eatery,https://www.yelp.com/biz/diem-eatery-brooklyn?osq=cafe,https://www.google.com/search?q=Diem+Eatery79+Atlantic+Ave+Brooklyn+NY+11201,4.7,49,"79 Atlantic Ave, Brooklyn, NY 11201","Diem Eatery
79 Atlantic Ave
Brooklyn, NY 11201"
Octavia Coffee,https://www.yelp.com/biz/octavia-coffee-brooklyn?osq=cafe,https://www.google.com/search?q=Octavia+Coffee198+Court+St+Brooklyn+NY+11201,4.8,24,"198 Court St, Brooklyn, NY 11201","Octavia Coffee
198 Court St
Brooklyn, NY 11201"
Winner,https://www.yelp.com/biz/winner-brooklyn?osq=cafe,https://www.google.com/search?q=Winner367+7th+Ave+Brooklyn+NY+11215,4.4,147,"367 7th Ave, Brooklyn, NY 11215","Winner
367 7th Ave
Brooklyn, NY 11215"
Caffe Corretto,https://www.yelp.com/biz/caffe-corretto-brooklyn-2?osq=cafe,https://www.google.com/search?q=Caffe+Corretto6502+20th+Ave+Brooklyn+NY+11204,3.0,4,"6502 20th Ave, Brooklyn, NY 11204","Caffe Corretto
6502 20th Ave
Brooklyn, NY 11204"
Kitsby,https://www.yelp.com/biz/kitsby-brooklyn-4?osq=cafe,https://www.google.com/search?q=Kitsby186+Grand+St+Brooklyn+NY+11211,4.3,335,"186 Grand St, Brooklyn, NY 11211","Kitsby
186 Grand St
Brooklyn, NY 11211"
Mia&#x27;s Bakery,https://www.yelp.com/biz/mias-bakery-brooklyn?osq=cafe,https://www.google.com/search?q=Mia&#x27;s+Bakery139+Smith+St+Brooklyn+NY+11201,4.3,N/A,"139 Smith St, Brooklyn, NY 11201","Mia&#x27;s Bakery
139 Smith St
Brooklyn, NY 11201"
Ost Cafe,https://www.yelp.com/biz/ost-cafe-new-york-3?osq=cafe,https://www.google.com/search?q=Ost+Cafe511+Grand+St+New+York+NY+10002,4.4,64,"511 Grand St, New York, NY 10002","Ost Cafe
511 Grand St
New York, NY 10002"
Two Hands,https://www.yelp.com/biz/two-hands-new-york-5?osq=cafe,https://www.google.com/search?q=Two+Hands74+Bleecker+St+New+York+NY+10012,4.1,76,"74 Bleecker St, New York, NY 10012","Two Hands
74 Bleecker St
New York, NY 10012"
Housing Works Bookstore,https://www.yelp.com/biz/housing-works-bookstore-new-york?osq=cafe,https://www.google.com/search?q=Housing+Works+Bookstore126+Crosby+St+New+York+NY+10012,4.4,599,"126 Crosby St, New York, NY 10012","Housing Works Bookstore
126 Crosby St
New York, NY 10012"
Frankie Portugal,https://www.yelp.com/biz/frankie-portugal-new-york?osq=cafe,https://www.google.com/search?q=Frankie+Portugal457+W+17th+St+New+York+NY+10011,4.1,88,"457 W 17th St, New York, NY 10011","Frankie Portugal
457 W 17th St
New York, NY 10011"
Cafe Patoro,https://www.yelp.com/biz/cafe-patoro-new-york?osq=cafe,https://www.google.com/search?q=Cafe+Patoro223+Front+St+New+York+NY+10038,4.5,225,"223 Front St, New York, NY 10038","Cafe Patoro
223 Front St
New York, NY 10038"
Black Star Bakery &amp; Cafe,https://www.yelp.com/biz/black-star-bakery-and-cafe-new-york-3?osq=cafe,https://www.google.com/search?q=Black+Star+Bakery+&amp;+Cafe241+E+24th+St+New+York+NY+10010,4.7,47,"241 E 24th St, New York, NY 10010","Black Star Bakery &amp; Cafe
241 E 24th St
New York, NY 10010"
Ten Thousand Coffee,https://www.yelp.com/biz/ten-thousand-coffee-new-york-3?osq=cafe,https://www.google.com/search?q=Ten+Thousand+Coffee750+3rd+Ave+New+York+NY+10017,4.4,107,"750 3rd Ave, New York, NY 10017","Ten Thousand Coffee
750 3rd Ave
New York, NY 10017"
Two Hands,https://www.yelp.com/biz/two-hands-new-york-4?osq=cafe,https://www.google.com/search?q=Two+Hands251+Church+St+New+York+NY+10013,3.8,376,"251 Church St, New York, NY 10013","Two Hands
251 Church St
New York, NY 10013"
